ex_name,ex_part,ex_method,ex_video1,ex_video2
백 익스텐션,허리,발을 지지대에 고정하고 허벅지 앞부분이 패드에 닿게 엎드린다. 팔은 가슴 위에 모으고 시선은 전방을 보도록 한다. 허리를 곧게 편 상태를 유지하면서 몸통을 90도 정도로 숙인다. 등이 곧게 펴질 때까지 상체를 들어올린다. 허리가 젖혀지는 느낌으로 원위치한다. 허리가 과신전되지 않도록 주의한다. 가동 범위가 작은 만큼 천천히 집중하여 동작한다.,back_extension.mp4,https://www.youtube.com/embed/pCY8xvkLHn8?si=-G3ra2yx0iGj_ARi
데드리프트 - 바벨,허리,"둔근, 대퇴 후면 근육 등 전신 근육 발달에 중요한 영향을 끼치는 운동이다. 신체의 파워를 기를 수 있고, 몸통을 둘러싸고 있는 근육들의 근력을 전반적으로 향상시킬 수 있는 운동이다. 어깨너비보다 약간 넓게 다리를 벌리고 서서 어깨너비로 바벨을 잡는다.허리를 똑바로 세워 차렷 자세를 취하듯 가슴을 내밀고 엉덩이를 뒤로 치켜든다. 무릎을 살짝 구부리면서 바벨을 정강이까지 내린 다음 앞으로 숙이면서 복부와 등을 긴장시킨다. 다시 등으로 끌어당기는 느낌으로 바벨을 들어올리면서 원위치해서 일어선다. 무릎 각을 유지한다. 요추의 정상적인 만곡을 유지한다. 고관절을 중심으로 상하체의 힘이 적절히 조화될 수 있도록 한다.",dead_lift-barbell.mp4,https://www.youtube.com/embed/EBjYQeeBI-0?si=OKpOgPG5cNS0UEqQ
데드리프트 - 덤벨,허리,"둔근, 대퇴 후면 근육 등 전신 근육 발달에 중요한 영향을 끼치는 운동이다. 신체의 파워를 기를 수 있고, 몸통을 둘러싸고 있는 근육들의 근력을 전반적으로 향상시킬 수 있는 운동이다. 바벨 데드리프트에 비해 무거운 중량을 들기는 힘들지만 밸런스를 위한 협응성을 기를 수 있다. 특히 무거운 중량의 바벨을 사용하기 어려운 여성들에게 권장되는 운동이다. 어깨너비 정도로 덤벨을 잡는다.허리를 똑바로 세워 차렷 자세를 취하듯 가슴을 내밀고 엉덩이를 뒤로 치켜든다. 무릎을 굽히고 허리를 앞으로 숙이면서 덤벨을 내린다.이때 복부와 등을 긴장시킨다. 다시 등으로 끌어당기는 느낌으로 원위치하면서 일어선다. 요추의 정상적인 만곡을 유지한다. 덤벨을 잡은 손이 대퇴부 전면을 따라 움직일 수 있도록 한다. 고관절을 중심으로 상하체의 힘이 적절히 조화될 수 있도록 한다.",dead_lift-dumbbell.mp4,https://www.youtube.com/embed/7RN8DHl6r3A?si=w1rHELPnkP-0tUMU
굿모닝,허리,"상체를 숙여 인사하는 듯한 동작 때문에 ‘굿모닝’이라고 이름 붙여졌다. 맨손으로 손쉽게 따라할 수 있는 동작으로 전신 후면에 탄력적인 라인을 만들어주는 데 효과적이다. 또한 요통이 있는 경우에도 많은 도움이 되는 운동이다. 이 동작은 처음에 허리에 자극을 느끼고 이어 엉덩이, 다리 뒤쪽까지 근육이 늘어나는 것을 느끼면서 실시하는 것이 포인트다. 양발은 어깨너비로 벌리고 선 상태에서 양손은 머리 뒤로 깎지를 껴준다. 인사하듯이 천천히 허리를 90도 정도로 굽힌다. 허리의 힘으로 천천히 상체를 일으켜 세운다. 동작을 반복한다. 상체를 숙이고 펼 때 척추가 동글게 구부러지지 않도록 하며 아치형을 유지한다. 반복 횟수를 늘리는 것보다 천천히 실시하는 것이 더 큰 효과를 가져다준다.",good_morning.mp4,https://www.youtube.com/embed/e1bCOy0S0SU?si=oLpfCMp6JWUacvH8
굿모닝 - 바벨,허리,등과 허리를 강화시키고 둔근과 대퇴이두근을 발달시키는 데 효과적인 운동이다. 무거운 무게를 들기보다는 정확한 자세로 실시하는 것이 중요하다. 어깨너비보다 넓게 바벨을 잡고 바를 가슴까지 끌어올린 후 머리 위로 들어올려 승모근에 올려놓는다.무릎을 약간 굽히고 허리를 곧게 펴고 시선은 전방을 향한다. 허리에 힘을 주어 긴장한 상태에서 상체를 바닥과 평행이 될 때까지 숙인다. 다시 허리의 힘으로 젖히듯이 천천히 원위치한다. 요추의 정상적인 만곡과 무릎의 각도를 일정하게 유지한다. 무릎을 지나치게 펴게 되면 무릎 앞쪽에 압축력이 강해지므로 약간 구부린 상태를 유지한다.,good_morning-barbell.mp4,https://www.youtube.com/embed/WwhCnOfl9e0?si=Ah24EInQuw9ZidJu
굿모닝 - 덤벨,허리,덤벨을 이용한 굿모닝 동작이다. 등과 허리를 강화시키고 둔근과 대퇴이두근을 발달시키는 데 효과적인 운동이다. 무거운 무게를 들기보다는 정확한 자세로 실시하는 것이 중요하다. 발은 어깨너비로 벌리고 서서 양손에 든 덤벨을 가슴에서 X자로 교차시킨다. 이때 무릎을 약간 굽히고 허리를 곧게 펴고 시선은 전방을 향한다. 허리의 긴장감 유지하면서 상체를 바닥과 평행이 될 때까지 숙인다. 허리의 힘을 이용하여 천천히 상체를 일으킨다. 동작을 반복한다. 상체를 숙이고 펼 때 척추가 동글게 구부러지지 않도록 하며 아치형을 유지한다. 반복 횟수를 늘리는 것보다 천천히 실시하는 것이 더 큰 효과를 가져다준다.,good_morning-dumbbell.mp4,https://www.youtube.com/embed/6M9Da2a6zsc?si=7_4KBGTCogYVhLky
스쿼트 - 스미스 머신,허벅지,"바벨 스쿼트 운동에 비해 고립된 운동으로 대퇴부와 둔부 크기를 증가시키기 위한 운동이다. 무릎과 등 하부에 부담을 줄이고 대퇴를 강도 높게 자극할 수 있다. 초보자들이 쉽고 안전하게 할 수 있는 장점이 있지만 등과 허리에 통증이 있는 경우엔 레그 프레스 운동으로 대체해서 실시하는 것이 바람직하다. 바벨을 어깨 위에 올리고 어깨너비보다 넓게 바벨을 잡는다.스쿼트 랙 아래에서 어깨너비로 서서 발끝이 약간 바깥쪽으로 향하도록 한다.시선은 정면을 향하고 복부에 힘을 주어 허리를 단단히 조여준다. 무릎이 발끝보다 앞으로 나오지 않도록 하면서 허벅지와 수평이 될 때까지 앉는다. 발뒤꿈치로 민다는 느낌으로 허벅지에 힘을 주면서 일어선다. 안정성을 위해 허리는 항상 곧게 펴고, 척추의 곡선을 그대로 유지하면서 대퇴, 고관절, 아킬레스건의 유연성이 사전에 확보되도록 스트레칭한다. 바벨을 들어올리는 동안 머리를 숙이지 않는다. 무릎을 바깥쪽 또는 안쪽으로 굽히지 말고, 일정하게 수평을 이루며 동작을 실시한다. 배에 힘을 주어 복압을 증가시키면, 보다 강한 힘을 낼 수 있으며, 허리 부상의 위험을 최소화할 수 있다.",squat-smith_machine.mp4,https://www.youtube.com/embed/xAzWNBmDS-I?si=LVe4_UVcwBnlLM1b
레그 프레스,허벅지,"대퇴사두근과 둔근을 강화시켜주는 대표적이고 필수적인 하체 운동이다. 초보자가 실시하기에 가장 적당한 하체 운동이며 스쿼트에 비해 허리에 가해지는 부하가 적어 비교적 무거운 무게로 운동을 할 수 있는 장점이 있다. 또한 발판의 지지 위치에 변화를 줄 경우 좀 더 집중적인 근력 향상을 꾀할 수 있다. 머신에 앉아 엉덩이와 어깨를 밀착시킨다. 양발을 발판에 대고 어깨너비만큼 벌린 다음 무릎을 편다. 앉는다는 느낌으로 천천히 무릎이 90도가 될 때까지 구부린다. 발뒤꿈치로 민다는 느낌으로 허벅지에 힘을 주면서 무릎을 편다. 무릎을 완전히 펴지 말고 약간 구부려주는 것이 운동 효과에 좋다. 대퇴사두근의 힘으로 지탱하며 지속적으로 실시한다. 엉덩이와 허리가 항상 기구에 밀착해 있어야 한다. 발판의 보폭을 좁게 하면 대퇴부 바깥쪽이, 넓게하면 대퇴부 안쪽이 발달된다. 발을 발판의 윗쪽에 대고 하면 대둔근이, 발을 발판의 아래쪽에 대고 하면 대퇴사두근 아래쪽이 발달된다.",leg_press.mp4,https://www.youtube.com/embed/EV0F_3S7Sks?si=w9pxZ4wzmAeSvRU4
레그 익스텐션,허벅지,"허벅지 전면 근육을 발달시키는 운동이다. 여성의 경우, 적당한 무게로 횟수를 늘려 실시하면 탄력 있는 허벅지를 만드는 데 효과적이다. 또한 두 다리의 근력 수준 차이를 극복하기 위해 한 발씩 실시해도 좋은 운동이 될 수 있다. 등받이에 등을 대고 손잡이를 잡은 다음, 발목을 어깨너비보다 좁게 벌려서 롤패드에 고정시킨다. 다리를 들어올려 무릎을 펴서 허벅지 근육을 수축시킨다. 천천히 저항을 느끼면서 다리를 내리며 긴장을 유지한다. 상체에 반동이 일어나지 않도록 천천히 실시할 수 있도록 주의한다. 무릎의 각도가 90도 이상 과도하게 넘지 않도록 하고, 다리 근육에 지속적인 긴장이 유지될 수 있도록 한다.",leg_extension.mp4,https://www.youtube.com/embed/mS9iwXhycJI?si=78fxVcVcOEz7qLyj
레그 컬 - 라잉,허벅지,"대퇴후면의 슬굴곡근을 발달시키기 위한 운동이다. 스탠딩 레그 컬보다 많은 중량을 들 수 있는 것이 장점으로, 하체 근력이 약한 사람에게 필수적인 운동이다. 단순관절 운동인 만큼 정확한 자세를 유지하는 것이 중요하다. 슬개골이 벤치 끝을 살짝 넘어오도록 위치시킨 후 기구 위에 엎드려 손잡이를 잡는다.발목을 기구에 걸고 아킬레스건 위에 롤패드가 오도록 위치시킨다. 허벅지 힘으로 패드를 끌어당기며 무릎을 굽힌다. 천천히 저항을 느끼며 다리를 내린다. 과도한 중량으로 동작 시 엉덩이를 사용할 경우 요통이 유발될 수 있다. 다리를 완전히 내리지 않도록 주의한다. 발목을 몸쪽 방향으로 잡아 당긴 상태로 실시하면 더욱 큰 자극을 느낄 수 있다.",leg_curl-lying.mp4,https://www.youtube.com/embed/9w8d_EL-7e4?si=JGwTfCcJKYcxTDbv
