,교보문고,2022.07~2023.05,임규찬,,,,,,,YES24,2022.07~2022.06,구영인,,,,,,,영풍문고,2022.07~2023.06,우종연,,,,,,,알라딘,2022.07~2023.06,진수영,,,,
,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일,,,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일,,,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일,,,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일
2022년07월,,,,,,,,,2022년7월,,,,,,,,,2022년 7월,,,,,,,,,2022년7월,,,,,,,
1,9791161571188 ,불편한 편의점(벚꽃 에디션),소설,김호연,9.8,"12,600원",2021년04월20일,,1,9788901260716 ,역행자,자기계발,자청,9.3,"15,750원",2022년 05월 30일,,1,791161571188 ,불편한 편의점(벚꽃 에디션),국내도서,김호연,/,"12,600원",2021년 04월 20일,,1,9788932474755 ,헤어질 결심 각본,예술/대중문화,박찬욱,9.9,"13,500원",2022-08-05
2,9791191043754 ,세상의 마지막 기차역(리커버 에디션),소설,무라세 다케시,9.7,"12,600원",2022년05월09일,,2,9791191114225 ,작별인사,소설/시/희곡,김영하,9.2,"12,600원",2022년 09월 05일,,2,791191043754 ,세상의 마지막 기차역-리커버 에디션,국내도서,무라세다케시,/,"12,600원",2022년 05월 11일,,2,9791168340510 ,파친코 1,소설/시/희곡,이민진,9.4,"14,220원",2022-07-27
3,9791191114225 ,작별인사,소설,김영하,9.6,"12,600원",2022년05월02일,,3,9791161571188 ,불편한 편의점,소설/시/희곡,김호연,9.2,"12,600원",2021년 04월 20일,,3,788901260716 ,역행자,국내도서,자청,/,"15,750원",2022년 05월 30일,,3,9788901260716 ,역행자,자기계발,자청,7.4,"15,750원",2022-06-03
4,9791196617127 ,기분을 관리하면 인생이 관리된다,시/에세이,김다슬,9.4,"15,840원",2022년04월12일,,4,9791190977661 ,[예스리커버] 인플레이션에서 살아남기,경제 경영,오건영,9.6,"16,920원",2022년 05월 23일,,4,791168412279 ,에그박사 7,국내도서,"에그박사,박송이",/,"13,050원",2022년 06월 15일,,4,9788965137702 ,유럽 도시 기행 2,인문학,유시민,8.9,"15,750원",2022-07-09
5,9788932474755 ,헤어질 결심 각본,예술/대중문화,정서경,9.8,"13,500원",2022년08월05일,,5,9791196617127 ,기분을 관리하면 인생이 관리된다,에세이,김다슬,9.2,"15,840원",2022년 04월 12일,,5,791191114225 ,작별인사,국내도서,김영하,/,"12,600원",2022년 05월 02일,,5,9791157062645 ,계속 가보겠습니다,사회과학,임은정,9.7,"16,200원",2022-07-22
6,9788965137702 ,유럽 도시 기행 2,인문,유시민,9.8,"15,750원",2022년07월09일,,6,9791191496208 ,설민석의 한국사 대모험 21 ,어린이,설민석,9.9,"11,700원",2022년 05월 27일,,6,791168411685 ,흔한남매 10,국내도서,"흔한남매,백난도",/,"12,150원",2022년 04월 28일,,6,8809264180679 ,우리 아기 오감발달 시끌벅적 정글 사운드북,유아,샘 태플린,7.7,"15,200원",2017-03-08
7,9791197377143 ,"어서 오세요, 휴남동 서점입니다",소설,황보름,9.7,"13,500원",2022년01월17일,,7,9791130689890 ,내가 틀릴 수도 있습니다,인문,비욘 나티코 린데블라드,9.3,"14,400원",2022년 04월 18일,,7,791191043723 ,어느 날 내 죽음에 네가 들어왔다,국내도서,세이카료겐,/,"13,500원",2022년 05월 09일,,7,9791164064410 ,이상한 과자 가게 전천당 15,어린이,히로시마 레이코,10,"11,700원",2022-07-11
8,9791190977661 ,인플레이션에서 살아남기,경제/경영,오건영,9.7,"16,920원",2022년05월23일,,8,9791197377143 ,"어서 오세요, 휴남동 서점입니다",소설/시/희곡,황보름,9.2,"13,500원",2022년 01월 17일,,8,791133463817 ,포켓몬스터 썬&문 포켓몬 전국대도감,국내도서,편집부,/,"8,550원",2017년 10월 20일,,8,9791136737632 ,방과 후 소년 하나코 군,만화,아이다이로,10,"5,400원",2022-07-28
