,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일
2022년7월,,,,,,,
1,9788901260716 ,역행자,자기계발,자청,9.3,"15,750원",2022년 05월 30일
2,9791191114225 ,작별인사,소설/시/희곡,김영하,9.2,"12,600원",2022년 09월 05일
3,9791161571188 ,불편한 편의점,소설/시/희곡,김호연,9.2,"12,600원",2021년 04월 20일
4,9791190977661 ,[예스리커버] 인플레이션에서 살아남기,경제 경영,오건영,9.6,"16,920원",2022년 05월 23일
5,9791196617127 ,기분을 관리하면 인생이 관리된다,에세이,김다슬,9.2,"15,840원",2022년 04월 12일
6,9791191496208 ,설민석의 한국사 대모험 21 ,어린이,설민석,9.9,"11,700원",2022년 05월 27일
7,9791130689890 ,내가 틀릴 수도 있습니다,인문,비욘 나티코 린데블라드,9.3,"14,400원",2022년 04월 18일
8,9791197377143 ,"어서 오세요, 휴남동 서점입니다",소설/시/희곡,황보름,9.2,"13,500원",2022년 01월 17일
9,9791191043754 ,세상의 마지막 기차역,소설/시/희곡,무라세 다케시,9.6,"12,600원",2022년 05월 11일
10,9791136736697 ,주술회전 19 일반판 ,만화/라이트노벨,아쿠타미 게게,10,"5,400원",2022년 06월 28일
11,9788954686921 ,저만치 혼자서,소설/시/희곡,김훈,9.4,"13,500원",2022년 06월 02일
12,9788934940753 ,흔한남매 과학 탐험대 5 물리 1 ,어린이,흔한남매,9.9,"12,600원",2022년 06월 16일
13,9791197646775 ,보이지 않는 곳에서 애쓰고 있는 너에게,에세이,최대호,9.8,"9,720원",2021년 12월 28일
14,9791191043761 ,멘탈을 바꿔야 인생이 바뀐다,자기계발,박세니,9,"15,120원",2022년 04월 30일
15,9788934943457 ,최재천의 공부,인문,최재천,9.4,"14,850원",2022년 05월 18일
16,9788986755589 ,사람이 보인다 관상백과,종교,편집부,7.5,"2,200원",2012년 09월 15일
17,9791170400523 ,이어령의 마지막 수업,인문,김지수,9.6,"14,850원",2021년 10월 26일
18,9791157845798 ,변화하는 세계질서,경제 경영,레이 달리오,9.6,"34,200원",2022년 06월 01일
19,9791168768987 ,스파이 패밀리 Spy Family 9 ,만화/라이트노벨,엔도 타츠야,9.6,"5,400원",2022년 06월 21일
20,9788954677158 ,긴긴밤,어린이,루리,9.8,"10,350원",2021년 02월 03일
2022년8월,,,,,,,
1,9788932474755 ,헤어질 결심 각본,예술,박찬욱,9.9,"13,500원",2022년 08월 05일
2,9788901260716 ,역행자,자기계발,자청,9.3,"15,750원",2022년 05월 30일
3,9791161571188 ,불편한 편의점,소설/시/희곡,김호연,9.2,"12,600원",2021년 04월 20일
4,9791164064410 ,이상한 과자 가게 전천당 15,어린이,히로시마 레이코,9.9,"11,700원",2022년 07월 11일
5,9791157062645 ,계속 가보겠습니다,사회 정치,임은정,9.5,"16,200원",2022년 07월 22일
6,9791130692074 ,입지 센스,경제 경영,박성혜(훨훨),9.8,"18,000원",2022년 07월 11일
7,9791191114225 ,작별인사,소설/시/희곡,김영하,9.2,"12,600원",2022년 09월 05일
8,9791168412477 ,흔한남매 11,어린이,흔한남매,9.8,"13,050원",2022년 07월 28일
9,9791196617127 ,기분을 관리하면 인생이 관리된다,에세이,김다슬,9.2,"15,840원",2022년 04월 12일
10,9788950903138 ,마법천자문 53 ,어린이,유대영,10,"12,600원",2022년 07월 12일
11,9791197377143 ,"어서 오세요, 휴남동 서점입니다",소설/시/희곡,황보름,9.2,"13,500원",2022년 01월 17일
12,9791168340510 ,파친코 1,소설/시/희곡,이민진,9.6,"14,220원",2022년 07월 27일
13,9788965137702 ,유럽 도시 기행 2,역사,유시민,9.6,"15,750원",2022년 07월 09일
14,9791191043754 ,세상의 마지막 기차역,소설/시/희곡,무라세 다케시,9.6,"12,600원",2022년 05월 11일
15,9791190977661 ,[예스리커버] 인플레이션에서 살아남기,경제 경영,오건영,9.6,"16,920원",2022년 05월 23일
16,9791168412279 ,에그박사 7 ,어린이,에그박사,9.9,"13,050원",2022년 06월 15일
17,9791189327156 ,물고기는 존재하지 않는다,자연과학,룰루 밀러,9,"15,300원",2021년 12월 17일
18,9788965422785 ,해커스 토익 기출  VOCA 보카,국어 외국어 사전,데이비드 조,9.6,"11,610원",2020년 03월 05일
19,9788917238549 ,ETS 토익 정기시험 기출문제집 1000 Vol.3 READING 리딩 ,국어 외국어 사전,ETS,9.8,"16,020원",2021년 12월 13일
20,9788917238532 ,ETS 토익 정기시험 기출문제집 1000 Vol.3 LISTENING 리스닝  ,국어 외국어 사전,ETS,9.6,"16,020원",2021년 12월 13일
2022년9월,,,,,,,
1,9788954699914 ,하얼빈,소설/시/희곡,김훈,9.4,"14,400원",2022년 08월 03일
2,9791161571379 ,불편한 편의점 2,소설/시/희곡,김호연,9.2,"12,600원",2022년 08월 10일
3,9788901260716 ,역행자,자기계발,자청,9.3,"15,750원",2022년 05월 30일
4,9791168412477 ,흔한남매 11,어린이,흔한남매,9.8,"13,050원",2022년 07월 28일
5,9788932474755 ,헤어질 결심 각본,예술,박찬욱,9.9,"13,500원",2022년 08월 05일
6,9791161571188 ,불편한 편의점,소설/시/희곡,김호연,9.2,"12,600원",2021년 04월 20일
7,9791157062645 ,계속 가보겠습니다,사회 정치,임은정,9.5,"16,200원",2022년 07월 22일
8,9791168340541 ,파친코 2,소설/시/희곡,이민진,9.6,"14,220원",2022년 08월 25일
9,9791168340510 ,파친코 1,소설/시/희곡,이민진,9.6,"14,220원",2022년 07월 27일
10,9791130677774 ,웰씽킹 WEALTHINKING,자기계발,켈리 최,9.4,"14,400원",2021년 11월 10일
11,9791191043754 ,세상의 마지막 기차역,소설/시/희곡,무라세 다케시,9.6,"12,600원",2022년 05월 11일
12,9791158883591 ,부자 아빠 가난한 아빠 20주년 특별 기념판,경제 경영,로버트 기요사키,9.4,"15,300원",2018년 02월 22일
13,9791197825996 ,오늘도 취향을 요리합니다,에세이,박미셸(it’s Michelle),9.6,"13,500원",2022년 08월 19일
14,9791197377143 ,"어서 오세요, 휴남동 서점입니다",소설/시/희곡,황보름,9.2,"13,500원",2022년 01월 17일
15,9791162540633 ,그릿 (50만 부 판매 기념 리커버 골드에디션),자기계발,앤절라 더크워스,8.9,"16,200원",2019년 02월 20일
16,9791196617127 ,기분을 관리하면 인생이 관리된다,에세이,김다슬,9.2,"15,840원",2022년 04월 12일
17,9791191114225 ,작별인사,소설/시/희곡,김영하,9.2,"12,600원",2022년 09월 05일
18,9788997575169 ,원씽 THE ONE THING,자기계발,게리 켈러,9.1,"12,600원",2013년 08월 30일
19,9791130633619 ,부자의 그릇,경제 경영,이즈미 마사토,9.4,"13,500원",2020년 12월 14일
20,9788917238549 ,ETS 토익 정기시험 기출문제집 1000 Vol.3 READING 리딩 ,국어 외국어 사전,ETS,9.8,"16,020원",2021년 12월 13일
2022년10월,,,,,,,
1,9788901260716 ,역행자,자기계발,자청,9.3,"15,750원",2022년 05월 30일
2,9788954699914 ,하얼빈,소설/시/희곡,김훈,9.4,"14,400원",2022년 08월 03일
3,9791161571379 ,불편한 편의점 2,소설/시/희곡,김호연,9.2,"12,600원",2022년 08월 10일
4,9788936438838 ,아버지의 해방일지,소설/시/희곡,정지아,9.6,"13,500원",2022년 09월 02일
5,9791191496604 ,설민석의 한국사 대모험 22,어린이,설민석,10,"11,700원",2022년 08월 29일
6,9791140410552 ,데뷔 못 하면 죽는 병 걸림 1부 초판 한정 굿즈박스 세트,소설/시/희곡,백덕수,9.8,"85,500원",2022년 12월 08일
7,9788997575169 ,원씽 THE ONE THING,자기계발,게리 켈러,9.1,"12,600원",2013년 08월 30일
8,9791161571188 ,불편한 편의점,소설/시/희곡,김호연,9.2,"12,600원",2021년 04월 20일
9,9791162540633 ,그릿 (50만 부 판매 기념 리커버 골드에디션),자기계발,앤절라 더크워스,8.9,"16,200원",2019년 02월 20일
10,9791158883591 ,부자 아빠 가난한 아빠 20주년 특별 기념판,경제 경영,로버트 기요사키,9.4,"15,300원",2018년 02월 22일
11,9791168270749 ,엄마의 말 연습 ,가정 살림,윤지영,9.8,"15,750원",2022년 09월 22일
12,9788950922955 ,마법천자문 54,어린이,유대영,9.6,"12,600원",2022년 08월 29일
13,9791191043754 ,세상의 마지막 기차역,소설/시/희곡,무라세 다케시,9.6,"12,600원",2022년 05월 11일
14,9791168340541 ,파친코 2,소설/시/희곡,이민진,9.6,"14,220원",2022년 08월 25일
15,9791168412477 ,흔한남매 11,어린이,흔한남매,9.8,"13,050원",2022년 07월 28일
16,9791191114225 ,작별인사,소설/시/희곡,김영하,9.2,"12,600원",2022년 09월 05일
17,9791191891201 ,잘될 수밖에 없는 너에게,에세이,최서영,9.6,"14,400원",2022년 08월 18일
18,9791157062645 ,계속 가보겠습니다,사회 정치,임은정,9.5,"16,200원",2022년 07월 22일
19,9788954677158 ,긴긴밤,어린이,루리,9.8,"10,350원",2021년 02월 03일
20,9791130692944 ,대출의 마법,경제 경영,레오(김은진),9.7,"18,000원",2022년 08월 26일
2022년11월,,,,,,,
1,9788959897094 ,트렌드 코리아 2023 ,경제 경영,김난도,9.3,"17,100원",2022년 10월 05일
2,9788936438838 ,아버지의 해방일지,소설/시/희곡,정지아,9.6,"13,500원",2022년 09월 02일
3,9788954699914 ,하얼빈,소설/시/희곡,김훈,9.4,"14,400원",2022년 08월 03일
4,9788901260716 ,역행자,자기계발,자청,9.3,"15,750원",2022년 05월 30일
5,9788950941819 ,세상에서 가장 쉬운 본질육아 ,가정 살림,지나영,9.8,"16,920원",2022년 09월 28일
6,9791161571379 ,불편한 편의점 2,소설/시/희곡,김호연,9.2,"12,600원",2022년 08월 10일
7,9791130626659 ,올리버쌤의 미국식 아이 영어 습관 365,가정 살림,올리버 샨 그랜트,10,"20,700원",2022년 10월 06일
8,9791161571188 ,불편한 편의점,소설/시/희곡,김호연,9.2,"12,600원",2021년 04월 20일
9,9791158883591 ,부자 아빠 가난한 아빠 20주년 특별 기념판,경제 경영,로버트 기요사키,9.4,"15,300원",2018년 02월 22일
10,9791191043754 ,세상의 마지막 기차역,소설/시/희곡,무라세 다케시,9.6,"12,600원",2022년 05월 11일
11,9791168413931 ,흔한남매의 흔한 호기심 7,어린이,흔한남매,10,"12,600원",2022년 10월 12일
12,9791136757296 ,주술회전 20 일반판 ,만화/라이트노벨,아쿠타미 게게,9.7,"5,400원",2022년 10월 26일
13,9791192625300 ,이은경쌤의 초등어휘일력 365 ,가정 살림,이은경,9.9,"16,920원",2022년 10월 28일
14,9791140701490 ,퀀트 투자 무작정 따라하기,경제 경영,강환국,9.6,"22,500원",2022년 10월 10일
15,9791189686536 ,[예스리커버] 이 책은 돈 버는 법에 관한 이야기 ,경제 경영,고명환,9.3,"15,120원",2022년 09월 19일
16,9791191891201 ,잘될 수밖에 없는 너에게,에세이,최서영,9.6,"14,400원",2022년 08월 18일
17,9788998658335 ,사람을 얻는 지혜,자기계발,발타자르 그라시안,9.3,"12,420원",2016년 03월 07일
18,9791192300245 ,마흔에 읽는 니체 (10만부 리커버 에디션),인문,장재형,9.2,"14,400원",2022년 09월 01일
19,9788997575169 ,원씽 THE ONE THING,자기계발,게리 켈러,9.1,"12,600원",2013년 08월 30일
20,9791169441315 ,원피스 ONE PIECE 103,만화/라이트노벨,오다 에이이치로,9.6,"4,950원",2022년 10월 28일
2022년12월,,,,,,,
1,9788959897094 ,트렌드 코리아 2023 ,경제 경영,김난도,9.3,"17,100원",2022년 10월 05일
2,9788901260716 ,역행자,자기계발,자청,9.3,"15,750원",2022년 05월 30일
3,9788936438838 ,아버지의 해방일지,소설/시/희곡,정지아,9.6,"13,500원",2022년 09월 02일
4,9791161571379 ,불편한 편의점 2,소설/시/희곡,김호연,9.2,"12,600원",2022년 08월 10일
5,9788997780518 ,조국의 법고전 산책,인문,조국,9.7,"19,800원",2022년 11월 09일
6,9791192625300 ,이은경쌤의 초등어휘일력 365 ,가정 살림,이은경,9.9,"16,920원",2022년 10월 28일
7,9791161571188 ,불편한 편의점,소설/시/희곡,김호연,9.2,"12,600원",2021년 04월 20일
