,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일
2022년 7월,,,,,,,
1,791161571188 ,불편한 편의점(벚꽃 에디션),국내도서,김호연,/,"12,600원",2021년 04월 20일
2,791191043754 ,세상의 마지막 기차역-리커버 에디션,국내도서,무라세다케시,/,"12,600원",2022년 05월 11일
3,788901260716 ,역행자,국내도서,자청,/,"15,750원",2022년 05월 30일
4,791168412279 ,에그박사 7,국내도서,"에그박사,박송이",/,"13,050원",2022년 06월 15일
5,791191114225 ,작별인사,국내도서,김영하,/,"12,600원",2022년 05월 02일
6,791168411685 ,흔한남매 10,국내도서,"흔한남매,백난도",/,"12,150원",2022년 04월 28일
7,791191043723 ,어느 날 내 죽음에 네가 들어왔다,국내도서,세이카료겐,/,"13,500원",2022년 05월 09일
8,791133463817 ,포켓몬스터 썬&문 포켓몬 전국대도감,국내도서,편집부,/,"8,550원",2017년 10월 20일
9,791197377143 ,어서 오세요 휴남동 서점입니다 (봄꽃 에디션),국내도서,황보름,/,"13,500원",2022년 01월 17일
10,791164064410 ,이상한 과자 가게 전천당 15,국내도서,히로시마레이코,/,"11,700원",2022년 07월 11일
11,788950903138 ,마법천자문 53-결정을 내려라 결단할 결,국내도서,유대영,/,"12,600원",2022년 07월 12일
12,791165341909 ,달러구트 꿈 백화점1,국내도서,이미예,/,"12,420원",2020년 07월 08일
13,791191043761 ,멘탈을 바꿔야 인생이 바뀐다(10만부 리커버),국내도서,박세니,/,"15,120원",2023년 05월 15일
14,791191043297 ,오늘 밤 세계에서 이 사랑이 사라진다 해도,국내도서,이치조미사키,/,"12,600원",2021년 06월 28일
15,791168412477 ,흔한남매 11,국내도서,"흔한남매,백난도",/,"13,050원",2022년 07월 28일
16,788934940753 ,흔한남매 과학 탐험대5-물리1,국내도서,"흔한남매,닥터스코,이현진",/,"12,600원",2022년 06월 16일
17,791168411852 ,흔한남매의 흔한 호기심 6,국내도서,"흔한남매,안치현",/,"11,700원",2022년 06월 08일
18,791191043518 ,테라피스트,국내도서,B.A.패리스,/,"14,400원",2021년 12월 06일
19,791169180948 ,원피스 102-천왕산,국내도서,오다에이치로,/,"4,950원",2022년 06월 27일
20,788934961574 ,눈물 한 방울: 이어령의 마지막 노트 2019-2022,국내도서,이어령,/,"14,220원",2022년 06월 30일
2022년 8월,,,,,,,
