,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일
2022년07월,,,,,,,
1,9791161571188,불편한 편의점(벚꽃 에디션),소설,김호연,9.8,"12,600원",2021년04월20일
2,9791191043754,세상의 마지막 기차역(리커버 에디션),소설,무라세 다케시,9.7,"12,600원",2022년05월09일
3,9791191114225,작별인사,소설,김영하,9.6,"12,600원",2022년05월02일
4,9791196617127,기분을 관리하면 인생이 관리된다,시/에세이,김다슬,9.4,"15,840원",2022년04월12일
5,9788932474755,헤어질 결심 각본,예술/대중문화,정서경,9.8,"13,500원",2022년08월05일
6,9788965137702,유럽 도시 기행 2,인문,유시민,9.8,"15,750원",2022년07월09일
7,9791197377143,"어서 오세요, 휴남동 서점입니다",소설,황보름,9.7,"13,500원",2022년01월17일
8,9791190977661,인플레이션에서 살아남기,경제/경영,오건영,9.7,"16,920원",2022년05월23일
9,9788954648523,친밀한 이방인,소설,정한아,9.7,"11,700원",2017년10월13일
10,9788934961574,눈물 한 방울,인문,이어령,9.8,"14,220원",2022년06월30일
11,9791157845798,변화하는 세계 질서,경제/경영,레이 달리오,9.7,"34,200원",2022년06월01일
12,9791168340510,파친코 1,소설,이민진,9.8,"14,220원",2022년08월05일
13,9791164064410,이상한 과자 가게 전천당 15,어린이(초등),히로시마 레이코,9.8,"11,700원",2022년07월11일
14,9791157062645,계속 가보겠습니다,정치/사회,임은정,9.8,"16,200원",2022년07월22일
15,9788965422785,해커스 토익 기출보카 TOEIC VOCA(토익보카) 단어장,외국어,David Cho,9.7,"11,610원",2022년03월14일
16,9791191043761,멘탈을 바꿔야 인생이 바뀐다(10만 부 기념 1주년 리커버),자기계발,박세니,9.1,"15,120원",2023년05월24일
17,9788934943457,최재천의 공부,인문,최재천,9.8,"14,850원",2022년05월18일
18,9791168412477,흔한남매 11,어린이(초등),흔한남매,9.9,"13,050원",2022년07월28일
19,9788950903138,마법천자문 53: 결정을 내리다! 결단할 결,어린이(초등),유대영,9.8,"12,600원",2022년07월12일
20,9791191043723,"어느 날, 내 죽음에 네가 들어왔다",소설,세이카 료겐,9.6,"13,500원",2022년05월09일
2022년08월,,,,,,,
1,9788954699914,하얼빈,소설,김훈,9.8,"14,400원",2022년08월03일
2,9791161571379,불편한 편의점 2(단풍 에디션),소설,김호연,9.8,"12,600원",2022년08월10일
3,9791168412477,흔한남매 11,어린이(초등),흔한남매,9.9,"13,050원",2022년07월28일
4,9791161571188,불편한 편의점(벚꽃 에디션),소설,김호연,9.8,"12,600원",2021년04월20일
5,9791168340510,파친코 1,소설,이민진,9.8,"14,220원",2022년08월05일
6,9788932474755,헤어질 결심 각본,예술/대중문화,정서경,9.8,"13,500원",2022년08월05일
7,9791191043754,세상의 마지막 기차역(리커버 에디션),소설,무라세 다케시,9.7,"12,600원",2022년05월09일
8,9791196617127,기분을 관리하면 인생이 관리된다,시/에세이,김다슬,9.4,"15,840원",2022년04월12일
9,9791157062645,계속 가보겠습니다,정치/사회,임은정,9.8,"16,200원",2022년07월22일
10,9788956608075,삶의 격,인문,페터 비에리,9.6,"14,400원",2014년10월29일
11,9791158883591,부자 아빠 가난한 아빠 1(20주년 특별 기념판),경제/경영,로버트 기요사키,9.7,"15,300원",2022년10월28일
12,9788972773641,호감 가는 말투에는 비밀이 있다,자기계발,장신웨,9.7,"15,120원",2022년08월11일
13,9791197377143,"어서 오세요, 휴남동 서점입니다",소설,황보름,9.7,"13,500원",2022년01월17일
14,9788997575169,원씽(The One Thing)(리커버 특별판),자기계발,게리 켈러,9.7,"12,600원",2013년08월30일
15,9791162540633,그릿(50만부 판매 기념 리커버 골드에디션),자기계발,앤절라 더크워스,9.6,"16,200원",2022년12월19일
16,9791191347975,우리는 어디서 살아야 하는가,경제/경영,김시덕,9.4,"16,200원",2022년07월20일
17,9788934961574,눈물 한 방울,인문,이어령,9.8,"14,220원",2022년06월30일
18,9791191114225,작별인사,소설,김영하,9.6,"12,600원",2022년05월02일
19,9791191043976,"오늘 밤, 세계에서 이 눈물이 사라진다 해도",소설,이치조 미사키,9.7,"12,600원",2022년07월28일
20,9791187142560,데일 카네기 인간관계론,자기계발,데일 카네기,9.7,"10,350원",2019년10월07일
2022년09월,,,,,,,
1,9788954699914,하얼빈,소설,김훈,9.8,"14,400원",2022년08월03일
2,9791161571379,불편한 편의점 2(단풍 에디션),소설,김호연,9.8,"12,600원",2022년08월10일
3,9791161571188,불편한 편의점(벚꽃 에디션),소설,김호연,9.8,"12,600원",2021년04월20일
4,9791168340541,파친코 2,소설,이민진,9.8,"14,220원",2022년08월25일
5,9788997575169,원씽(The One Thing)(리커버 특별판),자기계발,게리 켈러,9.7,"12,600원",2013년08월30일
6,9791191891201,잘될 수밖에 없는 너에게(10만부 기념 응원 에디션),시/에세이,최서영,9.4,"14,400원",2022년08월18일
7,9791191043754,세상의 마지막 기차역(리커버 에디션),소설,무라세 다케시,9.7,"12,600원",2022년05월09일
8,9791168412477,흔한남매 11,어린이(초등),흔한남매,9.9,"13,050원",2022년07월28일
9,9791196617127,기분을 관리하면 인생이 관리된다,시/에세이,김다슬,9.4,"15,840원",2022년04월12일
10,9791158883591,부자 아빠 가난한 아빠 1(20주년 특별 기념판),경제/경영,로버트 기요사키,9.7,"15,300원",2022년10월28일
11,9791162540633,그릿(50만부 판매 기념 리커버 골드에디션),자기계발,앤절라 더크워스,9.6,"16,200원",2022년12월19일
12,9788934942405,최소한의 이웃,시/에세이,허지웅,9.6,"14,220원",2022년08월22일
13,9788936438838,아버지의 해방일지,소설,정지아,9.9,"13,500원",2022년09월02일
14,9791191496604,설민석의 한국사 대모험 22,어린이(초등),설민석,9.9,"11,700원",2022년08월29일
15,9791140700998,믹스(Mix),경제/경영,안성은(Brand Boy),9.6,"16,920원",2022년08월16일
