,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일
2022년7월,,,,,,,
1,9788932474755,헤어질 결심 각본,예술/대중문화,박찬욱,9.9 ,"13,500원",2022-08-05
2,9791168340510,파친코 1,소설/시/희곡,이민진,9.4 ,"14,220원",2022-07-27
3,9788901260716,역행자,자기계발,자청,7.4 ,"15,750원",2022-06-03
4,9788965137702,유럽 도시 기행 2,인문학,유시민,8.9 ,"15,750원",2022-07-09
5,9791157062645,계속 가보겠습니다,사회과학,임은정,9.7 ,"16,200원",2022-07-22
6,8809264180679,우리 아기 오감발달 시끌벅적 정글 사운드북,유아,샘 태플린,7.7 ,"15,200원",2017-03-08
7,9791164064410,이상한 과자 가게 전천당 15,어린이,히로시마 레이코,10.0 ,"11,700원",2022-07-11
8,9791136737632,방과 후 소년 하나코 군,만화,아이다이로,10.0 ,"5,400원",2022-07-28
9,9791161571188,불편한 편의점 (벚꽃 에디션),소설/시/희곡,김호연,8.4 ,"12,600원",2021-04-20
10,8809264181478,키득키득 사운드북 : 동물 오케스트라,유아,샘 태플린,9.8 ,"11,040원",2020-02-25
11,9788917238549,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩),외국어,ETS,9.7 ,"16,020원",2021-12-13
12,9788917238532,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Listening (리스닝),외국어,ETS,7.5 ,"16,020원",2021-12-13
13,9788965422785,해커스 토익 기출 보카 TOEIC VOCA 단어장,외국어,David Cho,9.0 ,"11,610원",2019-01-02
14,9791191114225,작별인사,소설/시/희곡,김영하,8.4 ,"12,600원",2022-05-02
15,9788950903138,마법천자문 53,어린이,유대영,9.6 ,"12,600원",2022-07-12
16,9791189327156,물고기는 존재하지 않는다,과학,룰루 밀러,8.3 ,"15,300원",2021-12-17
17,8809264181515,클래식 뮤지컬 차이콥스키의 발레곡 호두까기 인형 사운드북,유아,피오나 와트,9.7 ,"15,200원",2020-11-05
18,9791191043754,세상의 마지막 기차역,소설/시/희곡,무라세 다케시,9.0 ,"12,600원",2022-05-11
19,8809264181232,키득키득 사운드북 : 내 방귀는 안 그래!,유아,샘 태플린,0.0 ,"11,040원",2019-07-09
20,8809264180921,우리 아기 오감발달 동물농장 사운드북,유아,샘 태플린,9.7 ,"15,200원",2018-04-11
2022년8월,,,,,,,
